lineopen,line,road,home,linehow,linemarsee,linedokter,linebihl,linekeep,lineatom,lineargh,linecong,linebillings,linebillings2,lineharville,linecather,lineburdorf,linepiratings,linepimean,linepibias,linefei,linerwp,linemassey,lineclean,linebmc,linetempo,linedonchess,linefeng,linepugh,linedwig,linefpi,linetalis,lineround,linerba,linemidweek,linegiddens,lineunion,neutral,linesag,linesagr,linesagpred,linesaggm,linepfz,linemoore,linenutshell,lineelo,lineborn,linefox,linelaz,linepig,linekam,linel2hf,linepayne,linepaynep,linepaynewl,lineash,linesuper,linecovers,linekerns,lineteamrank,linel2,linelog,linecons,lineloud,linecurry,linedunk,linem2,lineavg,linestd,linemedian,phcover,phwin,lineca
27.5,16,Utah St.,Nevada,4.5,,4.39,,14.7,,17,4.63,,,11.1,13,,3.9,5.3,5.7,,,2.73,2,,,12.6,4.1,17.14,,13.87160568,4.44,,,,,,0,8.67,13.83,9.11,3.83,17.39,10.72,,14.613268754,11.25,6,10.38,,0.5189,,,,,,10.8125,,7.75,8,,,14.9205,30,11.3,11.433,,9.165581601,4.793521397,9.745,0.3840225287,0.7090900798,15
-1,2,Louisiana Tech,North Texas,-12,,0.67,,-4.08,,-11,0.35,,,-6.8,-6,,-7.8,-8.2,-8.1,,,-1.33,-0.5,,,0.2,-6.7,-6.15,,-4.101928979,-9.9,-14,,,,,0,-9.01,-11.45,-9.03,-6.55,-0.38,-10.35,,-7.704537788,-7.05,-4,-7.62,,-1.4427,,,,,,-9.5,,3.25,-5.3,,,-7.042,-9,-6.96,-7.221,,-6.080061908,4.0879394498,-6.96,0.362891633,0.355864726,0.5
-9,-13.5,Buffalo,Northern Ill.,-2,,-3.17,,-24.82,,-5,-10.18,,,-3.19,-12,,-12.3,-11.2,-12.9,,,0.62,-3.5,,,-6.7,-6.3,-10.49,,-3.886903405,-19.78,,,,,,0,-4.85,-4.68,-4.82,-5.03,-4.68,-6.4,,-9.046954,-13.45,-9,0.44,,-2.2596,,,,,,-5.6875,,-7.15,-9.1,,,-5.376,-1,-6.88,-11.713,,-7.543528159,5.2813482762,-6.35,0.6009773693,0.3266090358,-12.5
3,4,Nebraska,Northwestern,6.5,,6.23,,-1.46,,12,3.43,,,9.33,2,,2.1,2.8,3.3,,,7.06,2,,,6.9,1.3,11.23,,6.5143570265,-4.86,,,,,,0,3.99,6.31,4.08,1.6,26.15,17.28,,8.450912353,7.75,8,13.18,,2.0433,,,,,,20.375,,6.75,5.7,,,12.6945,36,10.55,6.638,,6.9975314523,6.090420851,6.5071785133,0.5508021877,0.6591472251,4
-4,-5.5,Clemson,Notre Dame,-6.5,,-3.16,,-3.9,,-2,-1.62,,,-6,-2,,-1.7,-3.3,-4.8,,,-3.52,-12,,,-3.3,-12.2,-5.47,,-5.603655278,-12.19,-8,,,,,0,-9.13,-8.91,-9.13,-9.34,-5.78,-8.57,,-10.51030079,-10.65,-7,-5.67,,-10.0559,,,,,,1.25,,-3.15,-7.2,,,1.7885,-4,-6.57,-8.556,,-6.127067316,3.6631651445,-6,0.4891083801,0.3539504567,-5.5
37,38,Rutgers,Ohio St.,33.5,,41.85,,44.88,,30,33,,,36.01,50,,36.7,37,41.1,,,29.49,36.5,,,36.5,44.6,39.27,,36.215655972,47.9,,,,,,0,40.93,37.01,39.94,45.88,44.69,36.9,,35.382171261,47.55,53,28.6,,54.0349,,,,,,47.875,,31.1,38,,,29.3125,8,48.07,45.635,,39.953683154,6.9530875804,38.635,0.5328300501,0.9892123422,38
37,38,Kansas,Oklahoma,36.5,,40.79,,39.31,,40,36.96,,,33.52,44,,39.1,39,40.7,,,25.01,26,,,29.5,28.7,41.35,,36.7928342,34.55,31,,,,,0,37.55,38.12,37.5,37.2,37.34,48,,30.579164493,38.75,42,29.63,,35.5924,,,,,,58.1875,,28.6,38,,,37.8595,33,40.3,40.046,,37.08678282,6.307544508,37.55,0.4845223684,0.9847576907,38
11.5,10,Stanford,Oregon,12.5,,16.01,,17.75,,5,15.18,,,17.68,33,,16.9,17.9,17.6,,,9.38,5,,,7.7,20.9,19.25,,13.494248337,33.33,,,,,,0,13.27,12.99,13.22,13.72,21,10.73,,23.243200669,29.35,25,15.44,,22.034,,,,,,19.5,,24.4,15.2,,,18.5045,-1,30.2,29.502,,18.114057324,7.30922274,17.64,0.6333092374,0.8492236585,11
-3.5,1.5,Washington St.,Oregon St.,-12,,-6.63,,0.86,,-5,5.64,,,-2,-5,,0.2,1.8,-2.1,,,-2.3,-0.5,,,-0.9,-1.5,-4.24,,-0.298748601,-0.27,,,,,,0,-2.59,-2.48,-2.57,-2.69,-10.87,-11.67,,3.387101435,1.95,-4,-4.67,,-8.329,,,,,,-17.625,,-2.2,-2.4,,,-2.7685,-1,4.91,3.327,,-2.809621975,4.9485973592,-2.35,0.4263334731,0.4331492365,0.5
21,25,Maryland,Penn St.,19.5,,29.25,,33.82,,16,31.3,,,22.86,40,,30.9,29.7,32.5,,,15.37,19.5,,,25.5,29.6,32.42,,29.798235851,34.02,,,,,,0,32.9,31.38,35.98,32,25.78,24.83,,23.244791297,34.65,32,25.88,,30.6203,,,,,,37.875,,27.45,27.8,,,24.983,7,30.81,29.04,,28.80180374,5.7273895741,29.749117925,0.5645764838,0.9555003827,25.5
